Source 1 CH1
Source 1 CH2
Source 1 CH3
Source 1 CH4
Source 1 CH5
Source 1 CH6
Source 1 CH7
Source 1 CH8
Source 1 CH9
Source 1 CH10
Source 1 CH11
Source 1 CH12
Source 1 CH13
Source 1 CH14
Source 1 CH15
Source 1 CH16
Source 2 CH1
Source 2 CH2
Source 2 CH3
Source 2 CH4
Source 2 CH5
Source 2 CH6
Source 2 CH7
Source 2 CH8
Source 2 CH9
Source 2 CH10
Source 2 CH11
Source 2 CH12
Source 2 CH13
Source 2 CH14
Source 2 CH15
Source 2 CH16
Source 3 CH1
Source 3 CH2
Source 3 CH3
Source 3 CH4
Source 3 CH5
Source 3 CH6
Source 3 CH7
Source 3 CH8
Source 3 CH9
Source 3 CH10
Source 3 CH11
Source 3 CH12
Source 3 CH13
Source 3 CH14
Source 3 CH15
Source 3 CH16
Source 4 CH1
Source 4 CH2
Source 4 CH3
Source 4 CH4
Source 4 CH5
Source 4 CH6
Source 4 CH7
Source 4 CH8
Source 4 CH9
Source 4 CH10
Source 4 CH11
Source 4 CH12
Source 4 CH13
Source 4 CH14
Source 4 CH15
Source 4 CH16
Source 5 CH1
Source 5 CH2
Source 5 CH3
Source 5 CH4
Source 5 CH5
Source 5 CH6
Source 5 CH7
Source 5 CH8
Source 5 CH9
Source 5 CH10
Source 5 CH11
Source 5 CH12
Source 5 CH13
Source 5 CH14
Source 5 CH15
Source 5 CH16
Source 6 CH1
Source 6 CH2
Source 6 CH3
Source 6 CH4
Source 6 CH5
Source 6 CH6
Source 6 CH7
Source 6 CH8
Source 6 CH9
Source 6 CH10
Source 6 CH11
Source 6 CH12
Source 6 CH13
Source 6 CH14
Source 6 CH15
Source 6 CH16
Source 7 CH1
Source 7 CH2
Source 7 CH3
Source 7 CH4
Source 7 CH5
Source 7 CH6
Source 7 CH7
Source 7 CH8
Source 7 CH9
Source 7 CH10
Source 7 CH11
Source 7 CH12
Source 7 CH13
Source 7 CH14
Source 7 CH15
Source 7 CH16
Source 8 CH1
Source 8 CH2
Source 8 CH3
Source 8 CH4
Source 8 CH5
Source 8 CH6
Source 8 CH7
Source 8 CH8
Source 8 CH9
Source 8 CH10
Source 8 CH11
Source 8 CH12
Source 8 CH13
Source 8 CH14
Source 8 CH15
Source 8 CH16
